B0,B1,B2,B3,Label
-77,-80,-54,-67,16
-63,-76,-76,-69,7
-72,-74,-79,-82,5
-59,-65,-71,-70,8
-83,-78,-84,-64,14
-73,-75,-80,-59,1
-73,-66,-71,-73,8
-71,-74,-95,-86,5
-56,-81,-87,-70,1
-68,-66,-78,-62,9
-73,-81,-54,-69,16
-71,-81,-76,-56,13
-82,-81,-77,-68,15
-79,-78,-84,-72,11
-80,-76,-78,-62,6
-73,-83,-79,-72,5
-83,-81,-77,-83,12
-53,-73,-75,-45,9
-80,-76,-81,-77,6
-77,-77,-80,-67,11
-70,-75,-84,-48,10
-86,-65,-89,-61,8
-79,-77,-84,-60,14
-83,-66,-66,-55,15
-88,-72,-65,-75,12
-70,-79,-86,-45,9
-72,-92,-82,-71,1
-69,-83,-77,-59,9
-80,-67,-84,-54,15
-86,-76,-76,-70,11
-80,-79,-54,-74,16
-81,-72,-61,-60,14
-68,-79,-74,-60,9
-73,-81,-76,-70,11
-79,-58,-87,-77,3
-75,-53,-88,-74,3
-80,-69,-69,-73,3
-77,-72,-75,-67,6
-81,-76,-84,-62,14
-83,-81,-77,-80,12
-85,-71,-55,-68,16
-80,-62,-76,-46,14
-83,-79,-76,-72,15
-78,-72,-81,-64,14
-75,-75,-78,-83,5
-74,-77,-78,-73,11
-81,-48,-80,-79,4
-70,-73,-90,-74,5
-75,-72,-79,-65,6
-73,-90,-77,-69,2
-74,-65,-88,-70,8
-72,-83,-77,-52,13
-64,-68,-90,-71,3
-70,-82,-80,-61,9
-76,-76,-75,-60,14
-70,-73,-81,-64,10
-74,-68,-83,-73,3
-72,-74,-76,-66,11
-72,-84,-78,-73,5
-73,-65,-91,-57,8
-77,-73,-75,-60,14
-73,-51,-91,-72,8
-87,-66,-54,-71,16
-72,-73,-82,-60,10
-76,-65,-71,-59,4
-73,-78,-79,-70,2
-102,-66,-71,-72,8
-88,-81,-87,-73,5
-81,-73,-86,-73,3
-56,-77,-90,-86,5
-61,-63,-77,-68,4
-73,-58,-79,-75,5
-76,-59,-80,-50,11
-75,-67,-87,-72,3
-69,-82,-89,-57,9
-60,-69,-83,-72,3
-70,-75,-83,-73,1
-91,-73,-53,-77,16
-85,-79,-80,-54,15
-85,-79,-45,-70,16
-60,-81,-79,-58,6
-75,-87,-85,-56,11
-72,-75,-92,-80,5
-90,-68,-75,-66,12
-85,-69,-86,-72,3
-79,-73,-87,-54,14
-63,-74,-78,-75,5
-69,-72,-83,-58,9
-82,-57,-79,-81,5
-78,-73,-83,-68,15
-77,-57,-89,-88,3
-77,-79,-88,-60,14
-95,-79,-88,-64,8
-77,-74,-87,-68,7
-91,-82,-76,-78,12
-81,-59,-81,-59,6
-82,-77,-83,-60,14
-62,-82,-87,-43,9
-74,-81,-68,-52,13
-69,-84,-79,-63,10
-77,-77,-62,-58,14
-77,-78,-83,-59,14
-79,-80,-82,-54,15
-66,-75,-61,-71,2
-69,-79,-78,-61,10
-92,-83,-75,-74,12
-68,-85,-76,-57,9
-73,-82,-85,-70,5
-65,-79,-82,-72,1
-78,-78,-83,-53,15
-69,-75,-76,-71,10
-69,-81,-80,-71,10
-82,-76,-75,-66,11
-85,-80,-55,-69,16
-75,-81,-56,-60,16
-66,-74,-94,-72,3
-82,-68,-78,-49,15
-76,-76,-74,-69,7
-69,-82,-68,-62,10
-89,-61,-79,-53,13
-72,-84,-88,-87,5
-66,-77,-78,-73,2
-85,-72,-55,-68,16
-71,-82,-78,-55,13
-75,-69,-75,-66,11
-77,-84,-75,-60,6
-71,-59,-81,-75,1
-75,-63,-83,-56,13
-82,-83,-79,-72,15
-73,-64,-61,-76,4
-69,-67,-85,-58,9
-65,-73,-79,-70,1
-73,-72,-87,-76,1
-81,-81,-76,-75,12
-86,-82,-82,-71,15
-78,-58,-81,-81,4
-67,-89,-87,-68,1
-71,-78,-68,-60,9
-77,-73,-74,-63,14
-77,-69,-91,-72,3
-79,-77,-79,-59,6
-62,-68,-76,-56,2
-55,-78,-80,-63,10
-65,-76,-86,-68,1
-76,-70,-86,-83,3
-74,-71,-75,-84,12
-75,-67,-87,-58,9
-79,-64,-80,-64,4
-71,-86,-73,-53,9
-75,-64,-82,-74,4
-65,-93,-79,-73,1
-72,-96,-82,-58,1
-76,-64,-75,-62,14
-86,-80,-80,-64,15
-73,-78,-95,-65,10
-59,-73,-76,-66,6
-70,-80,-81,-63,10
-72,-63,-65,-77,4
-75,-63,-82,-63,3
-62,-64,-76,-58,4
-72,-61,-76,-70,8
-85,-80,-78,-63,15
-56,-50,-81,-71,4
-89,-72,-45,-68,16
-67,-99,-88,-71,1
-95,-82,-56,-73,8
-61,-78,-83,-70,1
-74,-69,-92,-73,3
-76,-76,-74,-66,7
-80,-72,-75,-58,14
-72,-76,-76,-55,2
-80,-82,-82,-54,15
-83,-74,-75,-71,7
-72,-73,-78,-76,5
-82,-74,-84,-70,7
-85,-74,-82,-64,15
-72,-64,-76,-54,13
-57,-81,-77,-36,13
-76,-58,-85,-81,4
-74,-78,-76,-62,2
-72,-77,-88,-71,1
-66,-88,-80,-70,1
-69,-59,-72,-76,4
-76,-74,-83,-72,6
-68,-82,-82,-57,9
-70,-80,-81,-62,15
-81,-81,-76,-75,12
-88,-79,-45,-76,16
-72,-73,-84,-55,13
-75,-87,-73,-73,11
-74,-87,-76,-85,12
