B0,B1,B2,Label
-67,-52,-60,16
-76,-81,-81,10
-71,-73,-83,7
-76,-71,-79,13
-70,-80,-75,10
-65,-80,-76,11
-73,-84,-84,13
-71,-75,-82,3
-72,-75,-79,3
-64,-64,-62,2
-74,-72,-69,14
-54,-69,-81,4
-73,-72,-76,13
-84,-71,-72,12
-64,-65,-68,4
-57,-92,-77,1
-70,-55,-85,7
-51,-80,-78,5
-63,-70,-62,16
-72,-82,-72,14
-64,-74,-64,16
-71,-54,-94,8
-52,-80,-90,5
-68,-50,-92,8
-43,-95,-65,1
-52,-57,-82,6
-48,-87,-79,2
-71,-75,-77,3
-51,-62,-89,5
-67,-78,-77,11
-78,-76,-80,10
-60,-94,-79,9
-48,-77,-81,2
-70,-74,-79,3
-57,-94,-86,1
-73,-58,-80,14
-71,-71,-90,7
-71,-72,-81,7
-70,-69,-85,7
-67,-60,-80,6
-69,-74,-80,13
-72,-72,-80,15
-69,-77,-57,15
-71,-80,-81,7
-72,-76,-79,3
-70,-54,-92,8
-55,-61,-71,8
-79,-84,-74,12
-72,-74,-71,14
-70,-64,-82,10
-65,-98,-68,1
-52,-79,-77,5
-50,-76,-90,5
-70,-59,-80,11
-72,-72,-91,3
-73,-73,-78,13
-65,-77,-75,11
-81,-67,-81,8
-77,-84,-75,12
-66,-75,-70,6
-71,-74,-73,7
-74,-72,-77,13
-50,-64,-79,5
-65,-74,-81,6
-76,-84,-58,12
-72,-71,-78,3
-43,-82,-79,1
-71,-70,-90,7
-72,-74,-76,13
-81,-86,-61,12
-70,-72,-84,7
-66,-77,-79,15
-48,-79,-69,2
-54,-76,-69,9
-81,-78,-58,15
-84,-85,-76,12
-48,-78,-75,2
-67,-71,-79,3
-58,-71,-81,1
-62,-56,-72,8
-68,-64,-70,8
-69,-79,-80,15
-71,-57,-80,7
-71,-72,-73,7
-73,-72,-67,7
-57,-74,-85,1
-79,-54,-72,8
-75,-83,-73,14
-53,-89,-76,9
-72,-76,-77,13
-40,-61,-81,9
-54,-85,-76,9
-60,-67,-83,10
-66,-53,-76,4
-84,-78,-85,10
-59,-69,-75,13
-55,-66,-84,8
-68,-71,-81,15
-67,-70,-78,3
-71,-66,-82,7
-77,-75,-85,15
-49,-76,-76,11
-53,-66,-77,9
-69,-67,-90,8
-81,-67,-76,8
-63,-74,-80,1
-66,-80,-83,6
-70,-66,-78,8
-72,-73,-69,13
-77,-69,-72,12
-76,-76,-79,10
-69,-66,-72,15
-68,-76,-75,11
-71,-77,-54,16
-44,-84,-80,1
-53,-81,-82,9
-52,-78,-78,5
-82,-67,-72,8
-70,-76,-73,15
-53,-80,-77,9
-75,-77,-85,10
-59,-79,-83,14
-58,-75,-64,16
-75,-73,-62,16
-70,-83,-77,13
-66,-72,-57,16
-63,-50,-83,8
-55,-78,-57,15
-66,-76,-85,10
-40,-67,-79,5
-64,-81,-75,2
-81,-73,-64,16
-69,-67,-76,4
-53,-74,-85,6
-75,-79,-76,12
-69,-81,-86,10
-71,-77,-82,10
-63,-74,-70,1
-72,-70,-88,7
-73,-77,-63,16
-67,-73,-63,16
-76,-82,-77,10
-72,-65,-91,8
-70,-76,-60,15
-57,-80,-74,1
-69,-82,-87,10
-68,-67,-88,8
-68,-76,-62,16
-60,-85,-84,1
-72,-71,-81,7
-67,-72,-85,6
-72,-58,-79,15
-71,-76,-77,13
-69,-58,-82,6
-71,-71,-74,7
-77,-87,-62,14
-67,-71,-80,6
-71,-68,-63,3
-63,-78,-78,2
-79,-64,-72,8
-36,-78,-79,5
-72,-70,-76,13
-76,-80,-75,12
-54,-60,-75,9
-68,-73,-62,16
-79,-72,-72,12
-71,-75,-79,13
-65,-69,-78,4
-44,-85,-79,9
-71,-61,-83,7
-82,-59,-63,14
-80,-72,-59,12
-69,-78,-60,11
-72,-81,-80,10
-51,-70,-63,3
-52,-77,-80,5
-69,-72,-63,16
-52,-82,-62,5
-67,-76,-80,3
-70,-53,-84,8
-79,-91,-73,12
-64,-90,-80,1
-75,-75,-78,14
-69,-68,-76,4
-56,-62,-62,11
-67,-77,-78,11
-66,-81,-62,2
-64,-75,-75,11
-77,-92,-68,1
-51,-68,-62,4
-69,-74,-82,6
-67,-62,-74,11
-63,-66,-90,8
-73,-67,-79,3
-53,-78,-69,10
-64,-75,-80,11
-52,-77,-85,5
-78,-73,-81,14
-63,-75,-79,2
-77,-80,-77,10
-70,-66,-85,8
-70,-72,-62,16
-87,-71,-73,15
-66,-80,-77,2
-68,-70,-65,3
-70,-80,-59,12
-70,-74,-74,7
-53,-93,-80,9
-76,-81,-72,14
-71,-73,-62,16
-69,-73,-81,6
-69,-78,-77,13
-52,-61,-89,5
-63,-80,-84,1
-66,-78,-62,11
-71,-81,-87,7
-68,-73,-62,16
-72,-71,-84,8
-71,-57,-66,15
-44,-92,-86,1
-63,-79,-62,2
-68,-67,-82,6
-71,-72,-86,7
-64,-90,-82,1
-49,-78,-75,11
-65,-68,-65,16
-70,-74,-63,15
-73,-71,-89,3
-71,-65,-68,15
-26,-89,-80,5
-53,-90,-81,9
-65,-75,-67,2
-58,-68,-57,16
-69,-66,-83,8
-69,-72,-67,7
-70,-64,-80,4
-45,-78,-61,5
-72,-80,-79,10
-73,-83,-79,14
-74,-70,-76,12
-50,-82,-62,5
-76,-82,-73,10
-65,-78,-61,11
-74,-68,-77,13
-51,-78,-89,5
-65,-76,-78,11
-70,-77,-79,11
-61,-72,-67,3
-69,-75,-78,11
-69,-72,-57,16
-70,-79,-68,10
-53,-67,-70,9
-74,-76,-70,7
-67,-83,-77,11
-44,-87,-81,1
-52,-76,-89,5
-73,-85,-78,14
-50,-66,-66,5
-66,-74,-80,6
-59,-74,-79,14
-74,-83,-73,14
-71,-70,-84,7
-72,-83,-66,14
-69,-76,-76,11
-55,-76,-67,9
-52,-72,-80,6
-63,-91,-79,14
-73,-58,-81,14
-71,-75,-64,3
-71,-74,-62,16
-79,-76,-78,15
-63,-77,-76,2
-74,-82,-76,14
-55,-72,-57,8
-52,-86,-65,5
-68,-71,-84,6
-68,-74,-68,6
-66,-65,-83,10
-69,-67,-76,4
-73,-81,-75,12
-55,-68,-99,8
-67,-71,-52,16
-72,-52,-79,3
-64,-60,-60,11
-75,-80,-88,7
-65,-69,-80,4
-57,-73,-69,1
-65,-70,-83,8
-66,-78,-76,2
-74,-81,-82,14
-59,-91,-81,1
-68,-74,-61,16
-68,-73,-62,16
-67,-78,-76,11
-63,-77,-77,2
-70,-62,-81,7
-69,-66,-71,8
-66,-73,-70,6
-50,-60,-79,3
-59,-84,-86,1
-73,-62,-83,7
-71,-51,-72,8
-54,-78,-65,9
-70,-73,-57,16
-70,-70,-72,8
-72,-75,-71,14
-63,-79,-71,10
-78,-75,-71,15
-80,-66,-71,12
-68,-74,-65,6
-86,-77,-88,10
-38,-76,-76,9
-69,-70,-61,16
-71,-66,-82,8
-69,-81,-73,15
-65,-80,-77,2
-55,-81,-82,9
-65,-79,-78,2
-78,-79,-77,14
-52,-77,-62,5
-58,-72,-69,1
-71,-66,-79,3
-74,-71,-64,16
-55,-71,-84,7
-68,-58,-68,6
-63,-75,-78,11
-72,-71,-90,7
-69,-76,-93,8
-68,-71,-61,16
-70,-77,-64,16
-63,-80,-76,2
-65,-80,-80,2
-64,-66,-61,4
-37,-85,-76,9
-52,-74,-66,6
-71,-73,-62,16
-72,-79,-81,14
-66,-69,-77,4
-67,-79,-70,6
-72,-76,-88,3
-63,-63,-85,10
-45,-77,-79,5
-64,-76,-75,11
-72,-81,-64,13
-54,-80,-76,2
-68,-71,-67,16
-51,-74,-79,5
-59,-67,-76,11
-71,-79,-74,15
-57,-74,-79,3
-55,-80,-63,1
-53,-83,-76,9
-64,-76,-76,11
-76,-81,-81,10
-72,-56,-63,16
-36,-77,-80,5
-71,-73,-83,7
-63,-70,-65,16
-59,-74,-81,1
-71,-75,-86,3
-55,-55,-89,7
-67,-65,-68,3
-57,-74,-76,11
-74,-73,-67,7
-52,-75,-67,6
-80,-68,-83,8
-71,-68,-59,15
-48,-80,-76,2
