B1_RSSI,B2_RSSI,B3_RSSI,Class
-64,-69,-77,4
-64,-69,-77,4
-71,-65,-81,4
-69,-66,-62,4
-69,-67,-82,4
-69,-69,-75,4
-64,-69,-76,4
-69,-66,-81,4
-65,-67,-81,4
-50,-50,-77,4
-64,-50,-76,4
-69,-67,-76,4
-54,-69,-81,4
-66,-68,-76,4
-64,-67,-81,4
-64,-65,-78,4
-53,-69,-65,4
-53,-66,-81,4
-59,-67,-75,4
-66,-65,-76,4
-69,-68,-76,4
-69,-65,-62,4
-66,-64,-80,4
-68,-69,-80,4
-53,-64,-84,4
-70,-67,-82,4
-64,-69,-76,4
-51,-68,-62,4
-64,-67,-78,4
-65,-69,-80,4
-66,-53,-76,4
-50,-67,-77,4
-66,-50,-75,4
-71,-66,-75,4
-69,-50,-76,4
-70,-66,-77,4
-65,-65,-81,4
-50,-67,-81,4
-69,-67,-78,4
-64,-65,-81,4
-64,-67,-63,4
-66,-67,-63,4
-70,-60,-79,4
-49,-65,-62,4
-65,-67,-62,4
-64,-66,-80,4
-69,-68,-78,4
-69,-51,-81,4
-65,-66,-76,4
-65,-65,-78,4
-70,-66,-78,4
-66,-68,-78,4
-50,-67,-67,4
-66,-66,-87,4
-69,-65,-83,4
-69,-66,-83,4
-51,-77,-83,4
-54,-67,-83,4
-50,-65,-81,4
-69,-65,-80,4
-65,-67,-63,4
-66,-67,-63,4
-64,-64,-79,4
-69,-71,-79,4
-70,-67,-79,4
-63,-54,-76,4
-63,-69,-76,4
-64,-66,-61,4
-66,-53,-76,4
-64,-67,-62,4
-69,-66,-76,4
-53,-66,-76,4
-64,-53,-79,4
-64,-70,-75,4
-65,-67,-76,4
-68,-69,-76,4
-64,-67,-77,4
-71,-53,-79,4
-63,-67,-83,4
-64,-67,-68,4
-69,-63,-81,4
-69,-66,-78,4
-64,-66,-65,4
-69,-66,-80,4
-69,-67,-76,4
-66,-51,-82,4
-51,-66,-62,4
-66,-67,-79,4
-65,-65,-80,4
-66,-65,-62,4
-66,-66,-77,4
-64,-65,-78,4
-65,-65,-61,4
-64,-65,-82,4
-55,-67,-82,4
-64,-67,-74,4
-59,-65,-71,4
-69,-50,-64,4
-70,-66,-76,4
-66,-69,-75,4
-70,-64,-80,4
-71,-65,-75,4
-66,-66,-77,4
-50,-77,-77,4
-69,-67,-78,4
-69,-67,-69,4
-56,-54,-72,4
-64,-69,-75,4
-70,-58,-71,4
-66,-68,-80,4
-53,-66,-82,4
-50,-68,-78,4
-65,-68,-77,4
-67,-55,-65,4
-64,-68,-76,4
-69,-67,-76,4
-64,-66,-77,4
-70,-67,-80,4
-64,-62,-80,4
-70,-50,-80,4
-65,-53,-68,4
-65,-68,-68,4
-65,-53,-75,4
-55,-53,-77,4
-53,-69,-69,4
-64,-70,-62,4
-64,-66,-77,4
-66,-65,-75,4
-66,-69,-77,4
-70,-65,-81,4
-70,-66,-77,4
-66,-67,-75,4
-55,-66,-77,4
-59,-68,-77,4
-66,-67,-61,4
-64,-68,-81,4
-54,-53,-76,4
-51,-67,-77,4
-54,-64,-66,4
-66,-64,-81,4
-66,-50,-75,4
-68,-66,-75,4
-69,-67,-64,4
-68,-66,-75,4
-64,-67,-82,4
-65,-67,-65,4
-65,-69,-78,4
-65,-67,-77,4
-64,-66,-66,4
-71,-67,-81,4
-55,-67,-81,4
-66,-67,-63,4
-64,-66,-61,4
-71,-51,-82,4
-69,-65,-78,4
-70,-73,-80,4
-64,-51,-76,4
-66,-65,-82,4
-69,-51,-79,4
-70,-50,-83,4
-51,-77,0,5
-52,-77,-76,5
-50,-76,-76,5
-50,-70,-79,5
-51,-84,-68,5
-51,-73,-88,5
-52,-72,-87,5
-45,-78,-87,5
-40,-77,-66,5
-50,-77,-79,5
-52,-77,-78,5
-51,-80,-78,5
-52,-78,-91,5
-52,-71,-90,5
-53,-71,-78,5
-52,-78,-78,5
-51,-79,-78,5
-51,-79,-78,5
-52,-77,-88,5
-52,-77,-82,5
-46,-78,-78,5
-52,-76,-89,5
-51,-76,-89,5
-50,-76,-89,5
-50,-74,-87,5
-52,-88,-87,5
-35,-64,-78,5
-51,-76,-91,5
-51,-76,-62,5
-51,-77,-62,5
-53,-77,-89,5
-52,-78,-89,5
-52,-77,-89,5
-36,-77,-85,5
-52,-66,-85,5
-40,-63,-86,5
-51,-62,-87,5
-36,-78,-87,5
-35,-80,-81,5
-52,-75,-86,5
-52,-78,-78,5
-22,-77,-80,5
-36,-61,-83,5
-52,-73,-63,5
-36,-73,-82,5
-36,-82,-80,5
-52,-79,-68,5
-51,-77,-88,5
-52,-82,-62,5
-45,-85,-62,5
-45,-85,-62,5
-51,-76,-62,5
-52,-67,-86,5
-52,-79,-86,5
-51,-84,-87,5
-51,-78,-84,5
-42,-87,-84,5
-52,-80,-90,5
-51,-90,-90,5
-52,-76,-71,5
-52,-86,-65,5
-50,-76,-74,5
-52,-79,-77,5
-52,-79,-77,5
-53,-79,-77,5
-52,-78,-85,5
-35,-78,-85,5
-41,-78,-85,5
-52,-79,-85,5
-51,-64,-78,5
-51,-80,-84,5
-52,-62,-62,5
-50,-62,-77,5
-51,-78,-79,5
-52,-79,-80,5
-52,-68,-77,5
-52,-75,-86,5
-52,-79,-79,5
-51,-89,-77,5
-52,-79,-77,5
-52,-79,-79,5
-45,-78,-61,5
-35,-79,-61,5
-29,-79,-78,5
-52,-81,-78,5
-41,-86,-86,5
-35,-79,-80,5
-52,-77,-78,5
-52,-78,-73,5
-58,-78,-79,5
-36,-78,-79,5
-50,-76,-79,5
-39,-76,-66,5
-35,-78,-88,5
-47,-78,-78,5
-46,-62,-84,5
-52,-62,-67,5
-41,-62,-78,5
-50,-66,-66,5
-51,-66,-74,5
-22,-78,-79,5
-52,-79,-80,5
-51,-79,-62,5
-52,-78,-90,5
-52,-77,-62,5
-41,-72,-78,5
-45,-77,-79,5
-50,-67,-80,5
-50,-79,-78,5
-52,-78,-78,5
-52,-62,-79,5
-50,-62,-78,5
-36,-78,-79,5
-51,-78,-80,5
-52,-78,-75,5
-52,-82,-94,5
-52,-67,-79,5
-52,-64,-65,5
-51,-77,-65,5
-46,-62,-65,5
-41,-61,-79,5
-50,-76,-90,5
-39,-90,-79,5
-52,-76,-90,5
-52,-80,-78,5
-40,-80,-78,5
-52,-86,-91,5
-51,-87,-88,5
-52,-79,-88,5
-52,-86,-66,5
-36,-79,-62,5
-40,-78,-78,5
-51,-79,-78,5
-53,-77,-80,5
-52,-77,-78,5
-52,-77,-78,5
-52,-80,-75,5
-52,-77,-93,5
-52,-78,-93,5
-53,-79,-92,5
-50,-82,-62,5
-52,-77,-89,5
-52,-77,-78,5
-52,-67,-78,5
-40,-67,-79,5
-51,-62,-62,5
-50,-90,-62,5
