B1_RSSI,B2_RSSI,B3_RSSI,B4_RSSI,Class
-52,-61,-74,-70,2
-76,-73,-74,-74,2
-62,-73,-75,-68,2
-57,-81,-77,-55,2
-72,-89,-77,-69,2
-72,-89,-77,-71,2
-75,-89,-77,-71,2
-68,-77,-80,-73,2
-72,-73,-77,-69,2
-72,-75,-77,-69,2
-69,-76,-74,-72,2
-67,-75,-76,-70,2
-57,-88,-77,-72,2
-66,-81,-80,-73,2
-71,-76,-78,-73,2
-68,-79,-62,-73,2
-66,-75,-71,-68,2
-68,-77,-78,-71,2
-66,-77,-78,-73,2
-62,-77,-64,-56,2
-68,-75,-68,-70,2
-67,-80,-77,-72,2
-64,-76,-78,-67,2
-69,-75,-76,-71,2
-69,-77,-76,-72,2
-64,-77,-77,-72,2
-71,-75,-76,-71,2
-62,-79,-75,-72,2
-62,-81,-75,-71,2
-67,-77,-77,-85,2
-59,-75,-74,-72,2
-53,-80,-74,-73,2
-72,-77,-77,-70,2
-69,-77,-79,-73,2
-67,-77,-73,-71,2
-71,-77,-62,-67,2
-72,-77,-77,-71,2
-57,-76,-77,-70,2
-68,-76,-75,-65,2
-73,-81,-75,-65,2
-52,-80,-85,-70,2
-68,-76,-75,-70,2
-52,-80,-78,-81,2
-72,-75,-75,-69,2
-62,-76,-76,-73,2
-68,-81,-75,-72,2
-72,-71,-76,-73,2
-62,-77,-75,-71,2
-66,-77,-77,-69,2
-53,-77,-64,-70,2
-53,-63,-76,-68,2
-61,-76,-71,-56,2
-63,-76,-75,-68,2
-66,-76,-76,-71,2
-73,-89,-77,-71,2
-67,-75,-76,-56,2
-75,-79,-75,-82,2
-62,-75,-79,-70,2
-61,-77,-76,-70,2
-71,-82,-68,-70,2
-67,-74,-68,-71,2
-67,-76,-76,-55,2
-68,-80,-78,-66,2
-64,-84,-76,-72,2
-69,-76,-74,-70,2
-72,-75,-87,-70,2
-68,-76,-78,-69,2
-80,-81,-77,-69,2
-72,-75,-83,-65,2
-72,-75,-62,-64,2
-67,-76,-88,-71,2
-73,-76,-77,-54,2
-68,-82,-78,-72,2
-57,-62,-62,-68,2
-68,-75,-79,-73,2
-72,-78,-76,-72,2
-73,-82,-78,-72,2
-68,-76,-78,-67,2
-67,-81,-62,-67,2
-57,-76,-76,-68,2
-64,-76,-76,-79,2
-72,-74,-76,-72,2
-73,-75,-76,-69,2
-73,-73,-74,-68,2
-66,-81,-77,-65,2
-62,-87,-74,-79,2
-56,-63,-72,-74,2
-72,-76,-80,-74,2
-63,-62,-78,-72,2
-72,-80,-70,-68,2
-76,-77,-79,-72,2
-72,-77,-76,-71,2
-53,-76,-78,-70,2
-67,-80,-78,-68,2
-73,-77,-77,-70,2
-74,-81,-93,-62,2
-67,-83,-79,-66,2
-71,-75,-74,-72,2
-68,-89,-60,-72,2
-52,-89,-79,-67,2
-72,-80,-77,-83,2
-63,-76,-77,-68,2
-68,-82,-75,-69,2
-59,-77,-60,-81,2
-73,-76,-92,-57,2
-67,-81,-76,-71,2
-64,-81,-77,-72,2
-68,-78,-77,-71,2
-71,-76,-76,-71,2
-71,-76,-76,-74,2
-72,-67,-76,-71,2
-72,-88,-80,-64,2
-72,-77,-79,-64,2
-64,-75,-61,-72,2
-68,-76,-61,-71,2
-66,-73,-74,-75,2
-66,-81,-75,-72,2
-72,-77,-71,-69,2
-66,-80,-78,-70,2
-52,-80,-78,-69,2
-73,0,-80,0,3
-64,-66,-69,-71,3
-64,-72,-97,-70,3
-73,-55,-97,-83,3
-68,-73,-85,-72,3
-85,-58,-79,-73,3
-75,-68,-79,-59,3
-75,-68,-79,-86,3
-75,-68,-79,-71,3
-81,-83,-93,-71,3
-82,-68,-93,-72,3
-79,-58,-87,-77,3
-80,-69,-87,-84,3
-69,-73,-90,-73,3
-74,-68,-81,-77,3
-80,-68,-86,-84,3
-74,-69,-85,-78,3
-74,-74,-96,-62,3
-75,-54,-88,-82,3
-74,-68,-88,-82,3
-68,-68,-94,-82,3
-83,-72,-94,-73,3
-83,-69,-83,-85,3
-75,-63,-74,-58,3
-73,-68,-87,-72,3
-73,-68,-65,-73,3
-70,-70,-65,-73,3
-74,-68,-89,-72,3
-75,-63,-82,-63,3
-84,-68,-67,-58,3
-68,-69,-83,-69,3
-74,-59,-82,-64,3
-78,-59,-81,-80,3
-76,-68,-67,-66,3
-74,-54,-67,-81,3
-75,-59,-74,-64,3
-74,-69,-92,-73,3
-80,-68,-92,-75,3
-73,-71,-82,-73,3
-75,-68,-90,-73,3
-74,-68,-98,-82,3
-74,-69,-81,-73,3
-81,-69,-83,-62,3
-76,-69,-88,-72,3
-76,-67,-93,-73,3
-80,-68,-92,-72,3
-73,-68,-80,-72,3
-64,-68,-90,-71,3
-73,-73,-91,-70,3
-76,-73,-91,-62,3
-80,-70,-91,-73,3
-77,-67,-86,-72,3
-64,-73,-86,-73,3
-73,-69,-94,-62,3
-73,-69,-80,-73,3
-73,-68,-90,-80,3
-79,-74,-84,-69,3
-74,-73,-88,-73,3
-75,-73,-84,-72,3
-75,-73,-84,-72,3
-74,-73,-75,-72,3
-81,-82,-75,-82,3
-81,-67,-86,-71,3
-74,-68,-80,-82,3
-85,-69,-86,-72,3
-80,-74,-82,-72,3
-76,-62,-74,-67,3
-80,-59,-81,-75,3
-81,-68,-90,-75,3
-75,-69,-88,-83,3
-80,-54,-92,-73,3
-80,-70,-75,-71,3
-61,-67,-75,-81,3
-81,-67,-74,-72,3
-81,-68,-87,-72,3
-59,-62,-87,-72,3
-74,-68,-88,-72,3
