B0,B1,B2,B3,Label
-73,-63,-80,-74,4
-78,-90,-79,-70,1
-73,-64,-72,-71,8
-81,-72,-74,-81,12
-84,-66,-54,-70,16
-58,-76,-81,-56,13
-75,-69,-79,-70,1
-86,-73,-39,-67,16
-73,-88,-84,-80,5
-68,-78,-87,-67,9
-69,-74,-81,-69,1
-71,-93,-84,-72,1
-70,-84,-85,-60,9
-71,-78,-84,-55,13
-76,-65,-80,-74,4
-56,-74,-95,-71,5
-71,-83,-76,-61,9
-81,-82,-61,-79,12
-91,-70,-76,-88,12
-71,-88,-91,-76,5
-58,-73,-80,-75,5
-69,-84,-85,-61,9
-70,-78,-79,-55,13
-89,-81,-75,-65,12
-74,-72,-93,-71,8
-81,-82,-77,-82,12
-76,-75,-84,-75,1
-86,-64,-55,-68,16
-73,-58,-71,-73,5
-64,-83,-81,-60,9
-71,-84,-90,-76,5
-73,-64,-91,-69,8
-84,-79,-55,-69,16
-72,-77,-89,-72,1
-76,-77,-87,-75,1
-58,-81,-86,-62,9
-91,-80,-55,-59,16
-67,-68,-73,-77,1
-74,-75,-78,-53,13
-73,-83,-91,-57,9
-75,-77,-64,-55,13
-68,-85,-76,-57,9
-89,-80,-54,-65,16
-70,-72,-56,-79,16
-86,-80,-34,-68,16
-65,-79,-71,-73,1
-62,-82,-87,-43,9
-72,-94,-78,-58,5
-86,-66,-49,-61,16
-81,-48,-62,-73,4
-74,-70,-76,-76,12
-60,-79,-96,-77,1
-50,-64,-80,-72,1
-62,-69,-73,-55,13
-71,-78,-77,-57,9
-55,-73,-88,-73,5
-73,-63,-74,-76,4
-77,-75,-82,-42,13
-73,-94,-78,-72,5
-73,-79,-66,-76,1
-78,-67,-72,-73,8
-56,-81,-87,-70,1
-59,-76,-90,-71,1
-74,-65,-87,-75,8
-83,-84,-75,-87,12
-72,-90,-82,-71,5
-100,-66,-90,-72,8
-73,-75,-74,-55,13
-79,-64,-80,-73,4
-73,-75,-78,-88,5
-80,-64,-83,-62,4
-67,-82,-55,-78,16
-55,-95,-78,-72,1
-71,-85,-74,-61,9
-61,-74,-91,-71,1
-74,-50,-71,-59,8
-74,-81,-66,-57,13
-70,-68,-79,-56,13
-84,-82,-42,-71,16
-72,-58,-84,-59,1
-75,-68,-71,-62,8
-71,-83,-79,-74,5
-90,-85,-77,-76,12
-72,-83,-93,-75,5
-69,-86,-80,-57,9
-73,-82,-67,-73,5
-60,-65,-81,-53,13
-85,-64,-84,-63,4
-72,-84,-88,-87,5
-80,-79,-54,-74,16
-71,-93,-88,-72,5
-73,-64,-88,-70,8
-64,-85,-85,-43,9
-68,-85,-74,-43,9
-67,-89,-87,-68,1
-87,-64,-66,-61,8
-70,-67,-45,-70,16
-66,-89,-86,-71,1
-71,-74,-77,-72,5
-74,-77,-81,-55,13
-74,-65,-79,-59,4
-71,-78,-88,-59,9
-87,-70,-55,-78,16
-80,-71,-76,-82,12
-56,-63,-80,-59,4
-83,-69,-76,-77,12
-73,-49,-76,-78,4
-89,-77,-61,-51,13
-60,-89,-81,-67,1
-73,-60,-72,-72,8
-75,-76,-61,-53,13
-89,-76,-78,-55,13
-94,-83,-56,-60,16
-68,-85,-74,-55,9
-81,-81,-76,-75,12
-77,-75,-74,-57,13
-72,-83,-63,-75,5
-65,-74,-88,-55,1
-80,-84,-75,-73,12
-58,-77,-81,-55,13
-73,-87,-78,-70,5
-85,-63,-41,-70,16
-72,-97,-87,-76,1
-66,-68,-91,-75,1
-73,-66,-93,-73,8
-72,-86,-80,-88,5
-80,-64,-82,-81,4
-89,-69,-66,-73,12
-72,-57,-77,-72,5
-79,-64,-81,-74,4
-71,-78,-78,-56,13
-61,-76,-71,-53,13
-101,-65,-71,-74,8
-87,-81,-55,-69,16
-81,-66,-45,-80,16
-82,-64,-76,-79,4
-75,-65,-56,-69,8
-85,-71,-55,-68,16
-90,-72,-75,-86,12
-74,-84,-79,-85,5
-74,-76,-72,-71,8
-74,-62,-72,-73,8
-73,-84,-77,-55,5
-94,-69,-78,-56,13
-73,-65,-67,-83,4
-102,-66,-71,-72,8
-78,-82,-56,-69,16
-58,-88,-79,-74,1
-78,-64,-66,-81,4
-91,-65,-74,-76,12
-69,-67,-85,-58,9
-81,-48,-80,-79,4
-71,-83,-77,-51,13
-72,-83,-75,-66,12
-69,-86,-85,-59,9
-85,-60,-56,-69,16
-80,-82,-76,-72,12
-66,-93,-83,-69,1
-71,-89,-73,-61,9
-72,-63,-62,-74,4
-71,-67,-66,-55,13
-95,-82,-56,-73,8
-73,-83,-82,-71,5
-68,-77,-68,-62,9
-70,-56,-77,-83,12
-72,-81,-76,-55,13
-92,-73,-76,-82,12
-73,-77,-75,-45,9
-59,-65,-56,-68,8
-71,-65,-40,-79,16
-75,-75,-78,-83,5
-68,-79,-74,-60,9
-59,-91,-80,-79,5
-63,-65,-81,-72,4
-73,-74,-76,-71,1
-81,-62,-69,-55,13
-59,-63,-79,-75,4
-73,-65,-87,-63,8
-65,-88,-74,-62,9
-49,-81,-91,-74,1
-62,-63,-69,-73,4
-75,-72,-82,-55,1
-75,-79,-83,-72,1
-72,-77,-88,-71,1
-81,-74,-76,-75,12
-86,-59,-45,-70,16
-68,-87,-73,-58,9
-68,-74,-87,-71,1
-90,-81,-61,-80,12
-89,-84,-75,-75,12
-72,-88,-62,-81,5
-88,-81,-73,-84,12
-57,-81,-77,-36,13
-91,-71,-75,-74,12
-83,-62,-46,-70,16
-75,-63,-80,-74,4
-93,-83,-77,-75,12
-72,-83,-68,-82,5
-85,-71,-74,-70,12
-54,-72,-78,-58,9
-72,-75,-92,-70,1
-73,-72,-72,-71,8
-73,-65,-72,-71,8
-70,-60,-84,-78,1
-71,-75,-90,-73,5
-91,-73,-53,-77,16
-50,-63,-82,-72,1
-81,-65,-74,-76,4
-73,-74,-91,-70,5
-89,-71,-76,-78,12
-74,-80,-91,-69,1
-69,-64,-82,-75,4
-49,-90,-81,-74,1
-70,-83,-86,-59,9
-82,-70,-56,-71,16
-76,-62,-67,-60,4
-71,-78,-61,-56,13
-66,-59,-87,-69,1
-69,-84,-71,-58,9
-67,-85,-84,-58,9
-73,-64,-80,-82,4
-91,-62,-80,-53,13
-92,-81,-74,-73,12
-88,-79,-75,-88,12
-70,-84,-66,-48,9
-85,-81,-77,-60,12
-65,-70,-69,-85,12
-82,-63,-76,-74,4
-90,-74,-56,-74,16
-68,-84,-84,-62,9
-70,-75,-82,-73,1
-85,-72,-55,-77,16
-84,-66,-41,-54,16
-69,-85,-88,-63,9
-63,-83,-87,-83,5
-71,-73,-90,-79,5
-74,-65,-82,-61,4
-73,-63,-82,-74,4
-62,-64,-76,-58,4
-70,-88,-84,-62,9
-76,-64,-84,-79,4
-93,-72,-76,-89,12
-69,-85,-76,-45,9
-91,-74,-74,-58,13
-78,-72,-56,-76,16
-88,-72,-65,-75,12
-57,-77,-78,-53,13
-87,-81,-56,-53,16
-72,-92,-91,-69,5
-80,-72,-45,-59,16
-63,-50,-82,-72,4
-86,-70,-75,-77,12
-75,-66,-91,-73,8
-85,-73,-78,-56,13
-66,-73,-84,-76,1
-66,-78,-82,-55,13
-85,-80,-55,-68,16
-90,-56,-75,-81,12
-70,-86,-84,-58,9
-69,-77,-79,-61,9
-72,-65,-88,-72,8
-65,-77,-88,-71,1
-53,-73,-75,-45,9
-73,-61,-79,-73,5
-71,-74,-95,-86,5
-86,-81,-55,-67,16
-69,-77,-73,-58,9
-57,-64,-80,-77,4
-75,-66,-95,0,8
-70,-83,-75,-58,9
-56,-73,-79,-73,5
-80,-63,-79,-79,4
-75,-64,-90,-65,8
-68,-80,-90,-57,9
-76,-80,-55,-76,16
-59,-80,-79,-60,1
-90,-81,-76,-74,12
-88,-69,-54,-68,16
-73,-66,-89,-70,8
-74,-64,-87,-88,8
-66,-84,-73,-58,9
-54,-66,-68,-62,9
-82,-86,-76,-81,12
-91,-72,-55,-69,16
-72,-74,-61,-39,13
-79,-64,-75,-62,4
-98,-80,-77,-56,13
-65,-73,-81,-70,1
-85,-83,-54,-68,16
-82,-81,-56,-55,16
-60,-84,-74,-58,9
-69,-76,-82,-58,9
-75,-64,-80,-79,4
-73,-65,-91,-57,8
-83,-83,-56,-70,16
-73,-86,-79,-72,5
-57,-64,-76,-73,4
-71,-82,-78,-55,13
-57,-85,-76,-71,5
-73,-65,-78,-60,4
-84,-69,-76,-76,12
-71,-77,-77,-56,13
-84,-86,-55,-67,16
-73,-65,-72,-71,8
-81,-81,-38,-70,16
-71,-57,-78,-76,5
-76,-73,-55,-76,16
-67,-85,-79,-58,9
-75,-65,-88,-73,8
-74,-66,-70,-74,8
-101,-65,-71,-70,8
-74,-64,-79,-73,4
-71,-63,-75,-73,4
-71,-102,-84,-59,9
-71,-88,-80,-73,5
-68,-85,-73,-58,9
-72,-88,-86,-72,5
-69,-85,-73,-62,9
-76,-74,-78,-54,13
-73,-66,-71,-71,8
-81,-83,-74,-79,12
-74,-74,-61,-54,13
-87,-72,-75,-85,12
-70,-73,-94,-82,1
-61,-59,-93,-75,5
-72,-66,-88,-72,8
-71,-72,-56,-69,16
-76,-80,-76,-56,13
-69,-81,-78,-57,13
-74,-76,-80,-44,13
-68,-82,-82,-57,9
-65,-95,-81,-71,1
-74,-65,-70,-73,8
-69,-71,-75,-58,9
-81,-49,-66,-72,4
-73,-74,-82,-55,1
-73,-78,-72,-56,8
-73,-73,-65,-70,1
-74,-63,-74,-73,4
-66,-68,-73,-78,1
-81,-72,-69,-61,12
